FirstImage,SecondImage,NonZeroR,NonZeroG,NonZeroB,Matches0.5,Matches0.6,Matches0.7,Matches0.8,Matches0.9,Matches1.0,Matches
jazz/zero-project,rock/Perverting,271293,266910,275722,0,1,1,9,69,442,489
jazz/zero-project,rock/Rude,261247,254556,264825,0,0,1,8,87,442,489
jazz/zero-project,rock/Rude,243314,238077,247177,0,0,2,8,87,443,489
jazz/zero-project,rock/Slash,276748,272528,280378,0,0,1,11,73,442,489
jazz/zero-project,rock/The,265542,262097,269812,0,0,4,14,96,442,489
jazz/zero-project,rock/The,282039,279171,285344,0,0,0,8,61,434,489
jazz/A,samba/Blue,285833,258528,287499,0,0,0,10,79,375,407
jazz/A,samba/Cuban,283975,267103,286101,0,0,0,16,74,362,407
jazz/A,samba/Elegante,284856,258869,287065,0,0,2,16,86,366,407
jazz/A,samba/Este,280697,259998,282803,0,0,1,6,59,365,407
jazz/A,samba/MESCALE,277483,262362,279045,0,0,0,5,52,360,407
jazz/A,samba/Sambapleasure,286572,267823,288719,0,0,1,8,65,376,407
jazz/A,samba/Samba,280632,257907,281880,0,0,0,9,77,372,407
jazz/Bandoneon,samba/Blue,240016,229626,240907,0,2,13,37,134,387,413
jazz/Bandoneon,samba/Cuban,268284,265607,269282,0,0,3,25,102,375,413
jazz/Bandoneon,samba/Elegante,263502,254607,264391,0,1,4,15,75,379,413
jazz/Bandoneon,samba/Este,221651,214518,222785,0,1,9,34,131,389,413
jazz/Bandoneon,samba/MESCALE,197394,191215,198190,0,0,2,16,92,377,413
jazz/Bandoneon,samba/Sambapleasure,264938,260700,265723,0,0,1,13,86,371,413
jazz/Bandoneon,samba/Samba,207537,198136,208128,0,0,4,13,84,373,413
jazz/Birdman,samba/Blue,247802,235328,248575,0,2,6,32,132,415,442
jazz/Birdman,samba/Cuban,269733,263710,270483,0,0,2,19,91,404,442
jazz/Birdman,samba/Elegante,266996,255755,267672,0,0,1,14,75,392,442
jazz/Birdman,samba/Este,229764,219903,230697,2,5,13,33,100,411,442
jazz/Birdman,samba/MESCALE,210933,203384,211612,0,0,1,11,84,415,442
jazz/Birdman,samba/Sambapleasure,268397,261437,269030,0,0,2,20,92,401,442
jazz/Birdman,samba/Samba,217059,206233,217622,0,1,3,24,109,411,442
jazz/Chinese,samba/Blue,245203,234363,246731,0,0,6,32,103,438,468
jazz/Chinese,samba/Cuban,266571,263367,268524,0,0,2,13,102,431,468
jazz/Chinese,samba/Elegante,262661,252917,264920,0,0,1,13,105,433,468
jazz/Chinese,samba/Este,226882,217969,228990,0,0,6,25,99,424,468
jazz/Chinese,samba/MESCALE,200532,192548,201948,0,0,2,11,80,418,468
jazz/Chinese,samba/Sambapleasure,263674,259257,265581,1,1,2,18,89,426,468
jazz/Chinese,samba/Samba,218081,208805,219127,0,0,2,16,107,422,468
